,pred1
1093,0.24083753
1094,0.24083753
1095,0.23386462
1096,0.24083753
1097,0.22576205
1098,0.23386462
1099,0.23386462
1100,0.25126696
1101,0.24664785
1102,0.22576205
1103,0.22576205
1104,0.24083753
1105,0.24083753
1106,0.24083753
1107,0.23386462
1108,0.24664785
1109,0.24083753
1110,0.24664785
1111,0.24083753
1112,0.22576205
1113,0.25126696
1114,0.24664785
1115,0.24664785
1116,0.25467125
1117,0.25467125
1118,0.24901728
1119,0.24083753
1120,0.2165664
1121,0.25126696
1122,0.25467125
1123,0.23386462
1124,0.25126696
1125,0.24664785
1126,0.23386462
1127,0.24083753
1128,0.22576205
1129,0.23386462
1130,0.2165664
1131,0.23386462
1132,0.23386462
1133,0.24664785
1134,0.23386462
1135,0.25684276
1136,0.24083753
1137,0.24083753
1138,0.23386462
1139,0.23386462
1140,0.24083753
1141,0.23386462
1142,0.24664785
1143,0.24083753
1144,0.24083753
1145,0.23386462
1146,0.25126696
1147,0.25467125
1148,0.23386462
1149,0.25776947
1150,0.23386462
1151,0.24083753
1152,0.23386462
1153,0.22576205
1154,0.24083753
1155,0.2165664
1156,0.24083753
1157,0.25684276
1158,0.23386462
1159,0.25126696
1160,0.23386462
1161,0.24083753
1162,0.23386462
1163,0.25684276
1164,0.25126696
1165,0.2165664
1166,0.24664785
1167,0.24083753
1168,0.25684276
1169,0.24083753
1170,0.25126696
1171,0.25126696
1172,0.25126696
1173,0.23386462
1174,0.23386462
1175,0.22576205
1176,0.24664785
1177,0.25126696
1178,0.25126696
1179,0.22576205
1180,0.2165664
1181,0.24664785
1182,0.21656641
1183,0.23386462
1184,0.25467125
1185,0.24664785
1186,0.23386462
1187,0.23386462
1188,0.23386462
1189,0.25126696
1190,0.24664785
1191,0.24083753
1192,0.23386462
1193,0.25467125
1194,0.23386462
1195,0.24664785
1196,0.23386462
1197,0.25467125
1198,0.24664785
1199,0.25684276
1200,0.22576205
1201,0.23386462
1202,0.22576205
1203,0.23386462
1204,0.25126696
1205,0.25684276
1206,0.25467125
1207,0.23386462
1208,0.24664785
1209,0.24664785
1210,0.24083753
1211,0.22576205
1212,0.25126696
1213,0.25126696
1214,0.24664783
1215,0.22576205
1216,0.25126696
1217,0.24083753
1218,0.24083753
1219,0.25684276
1220,0.23386462
1221,0.25467125
1222,0.22576205
1223,0.25126696
1224,0.24083753
1225,0.25126696
1226,0.25126696
1227,0.24664785
1228,0.25126696
1229,0.23386462
1230,0.23386462
1231,0.25126696
1232,0.25684276
1233,0.23386462
1234,0.24083753
1235,0.25126696
1236,0.24083753
1237,0.25744587
1238,0.25684276
1239,0.25776947
1240,0.25467125
1241,0.25467125
1242,0.25126696
1243,0.24664785
1244,0.24664785
1245,0.25126696
1246,0.23386462
1247,0.25126696
1248,0.25467125
1249,0.24664785
1250,0.24664785
1251,0.24664785
1252,0.23386462
1253,0.25467125
1254,0.25684276
1255,0.23386462
1256,0.24083753
1257,0.24083753
1258,0.24083753
1259,0.25126696
1260,0.25744587
1261,0.24664785
1262,0.25587302
1263,0.25467125
1264,0.2165664
1265,0.24664785
1266,0.24083753
1267,0.24664785
1268,0.25126696
1269,0.24664785
1270,0.22576205
1271,0.23386462
1272,0.25126696
1273,0.23386462
1274,0.22576205
1275,0.25467125
1276,0.24664785
1277,0.2165664
1278,0.24083753
1279,0.24083753
1280,0.22576205
1281,0.24083753
1282,0.24083753
1283,0.2165664
1284,0.24664785
1285,0.25126696
1286,0.23386462
1287,0.22576205
1288,0.24664785
1289,0.24083753
1290,0.23386462
1291,0.23386462
1292,0.24664785
1293,0.25126696
1294,0.24083753
1295,0.24083753
1296,0.24083753
1297,0.24083753
1298,0.22576205
1299,0.24083753
1300,0.24083753
1301,0.24664785
1302,0.25684276
1303,0.24664785
1304,0.22576205
1305,0.24083753
1306,0.24664785
1307,0.23386462
1308,0.23386462
1309,0.24083753
1310,0.22576205
1311,0.21656641
1312,0.25467125
1313,0.24083753
1314,0.23386462
1315,0.24664785
1316,0.25684276
1317,0.24664785
1318,0.22576205
1319,0.25126696
1320,0.24083753
1321,0.24664785
1322,0.24083753
1323,0.25467125
1324,0.2165664
1325,0.25684276
1326,0.24083753
1327,0.25467125
1328,0.23386462
1329,0.24083753
1330,0.24664785
1331,0.24083753
1332,0.24664785
1333,0.23386462
1334,0.25684276
1335,0.25467125
1336,0.25467125
1337,0.25126696
1338,0.24083753
1339,0.25467125
1340,0.24083753
1341,0.24083753
1342,0.23386462
1343,0.25126696
1344,0.24664785
1345,0.25126696
1346,0.25467125
1347,0.22576205
1348,0.23386462
1349,0.23386462
1350,0.25467125
1351,0.23386462
1352,0.25776947
1353,0.25126696
1354,0.25467125
1355,0.24664785
1356,0.22576205
1357,0.24664785
1358,0.25776947
1359,0.24664785
1360,0.25467125
1361,0.25467125
1362,0.23386462
1363,0.25467125
1364,0.25126696
1365,0.22576205
1366,0.24664785
1367,0.22576205
1368,0.25467125
1369,0.23386462
1370,0.24083753
1371,0.25467125
1372,0.23386462
1373,0.24664785
1374,0.2577695
1375,0.25126696
1376,0.24664785
1377,0.24664785
1378,0.22576205
1379,0.22576205
1380,0.23386462
1381,0.24664785
1382,0.25126696
1383,0.25467125
1384,0.24377011
1385,0.24083753
1386,0.24664785
1387,0.25467125
1388,0.25126696
1389,0.24083753
1390,0.24083753
1391,0.25467125
1392,0.25684276
1393,0.25467125
1394,0.25126696
1395,0.24664785
1396,0.24083753
1397,0.24664785
1398,0.24083753
1399,0.25467125
1400,0.23386462
1401,0.24083753
1402,0.25587302
1403,0.25467125
1404,0.24664785
1405,0.25126696
1406,0.23386462
1407,0.22576205
1408,0.22576205
1409,0.23386462
1410,0.25126696
1411,0.23386462
1412,0.24664785
1413,0.2165664
1414,0.25126696
1415,0.24664785
1416,0.24083753
1417,0.24664785
1418,0.2165664
1419,0.24083753
1420,0.23386462
1421,0.22576205
1422,0.22576205
1423,0.24664785
1424,0.23386462
1425,0.24083753
1426,0.25126696
1427,0.24664785
1428,0.23386462
1429,0.22576205
1430,0.25126696
1431,0.25467125
1432,0.25467125
1433,0.24083753
1434,0.22576205
1435,0.24083753
1436,0.24664785
1437,0.23386462
1438,0.25126696
1439,0.25744587
1440,0.24083753
1441,0.24083753
1442,0.22576205
1443,0.22576205
1444,0.24664785
1445,0.23386462
1446,0.23386462
1447,0.22576205
1448,0.24083753
1449,0.22576205
1450,0.23386462
1451,0.24664785
1452,0.24083753
1453,0.24083753
1454,0.24664785
1455,0.22576205
1456,0.2165664
1457,0.24083753
